ENSMUSG00000000001	ENSG00000065135
ENSMUSG00000000631	ENSG00000196535
ENSMUSG00000000632	ENSG00000063015
ENSMUSG00000000673	ENSG00000162882
ENSMUSG00000000686	ENSG00000168792
ENSMUSG00000000690	ENSG00000108511
ENSMUSG00000000693	ENSG00000115318
ENSMUSG00000000701	ENSG00000213231
ENSMUSG00000000706	ENSG00000124557
ENSMUSG00000000708	ENSG00000114166
ENSMUSG00000000711	ENSG00000111540
ENSMUSG00000000724	ENSG00000108255
ENSMUSG00000000730	ENSG00000142182
ENSMUSG00000000730	ENSG00000279493
ENSMUSG00000000731	ENSG00000160224
ENSMUSG00000000732	ENSG00000160223
ENSMUSG00000000732	ENSG00000277117
ENSMUSG00000000738	ENSG00000197912
ENSMUSG00000000740	ENSG00000167526
ENSMUSG00000000743	ENSG00000131165
ENSMUSG00000000751	ENSG00000132383
ENSMUSG00000000753	ENSG00000132386
ENSMUSG00000000759	ENSG00000126216
ENSMUSG00000000766	ENSG00000112038
ENSMUSG00000000776	ENSG00000168495
ENSMUSG00000000782	ENSG00000081059
ENSMUSG00000000787	ENSG00000215301
ENSMUSG00000000791	ENSG00000096996
ENSMUSG00000000792	ENSG00000105641
ENSMUSG00000000794	ENSG00000143603
ENSMUSG00000000804	ENSG00000170832
ENSMUSG00000000805	ENSG00000167434
ENSMUSG00000000811	ENSG00000197763
ENSMUSG00000000817	ENSG00000117560
ENSMUSG00000000823	ENSG00000196700
ENSMUSG00000000826	ENSG00000101152
ENSMUSG00000000827	ENSG00000101150
ENSMUSG00000000838	ENSG00000102081
ENSMUSG00000000861	ENSG00000119866
ENSMUSG00000000869	ENSG00000113520
ENSMUSG00000000876	ENSG00000101417
ENSMUSG00000000881	ENSG00000082458
ENSMUSG00000000884	ENSG00000185838
ENSMUSG00000000889	ENSG00000123454
ENSMUSG00000000901	ENSG00000099953
ENSMUSG00000000902	ENSG00000099956
ENSMUSG00000000903	ENSG00000128218
ENSMUSG00000000915	ENSG00000130787
ENSMUSG00000000916	ENSG00000130305
ENSMUSG00000000934	ENSG00000184428
ENSMUSG00000000938	ENSG00000253293
ENSMUSG00000000942	ENSG00000197576
ENSMUSG00000000948	ENSG00000214265
ENSMUSG00000000948	ENSG00000273173
ENSMUSG00000000957	ENSG00000157227
ENSMUSG00000000958	ENSG00000155465
ENSMUSG00000000959	ENSG00000155463
ENSMUSG00000000976	ENSG00000068097
ENSMUSG00000000982	ENSG00000275385
ENSMUSG00000000982	ENSG00000276085
ENSMUSG00000000982	ENSG00000277632
ENSMUSG00000001014	ENSG00000105371
ENSMUSG00000001016	ENSG00000143621
ENSMUSG00000001017	ENSG00000160679
ENSMUSG00000001018	ENSG00000143553
ENSMUSG00000001020	ENSG00000196154
ENSMUSG00000001021	ENSG00000188015
ENSMUSG00000001023	ENSG00000196420
ENSMUSG00000001025	ENSG00000197956
ENSMUSG00000001027	ENSG00000007314
ENSMUSG00000001029	ENSG00000108622
ENSMUSG00000001034	ENSG00000166484
ENSMUSG00000001036	ENSG00000072134
ENSMUSG00000001039	ENSG00000108641
ENSMUSG00000001052	ENSG00000138802
ENSMUSG00000001053	ENSG00000145911
ENSMUSG00000001054	ENSG00000145916
ENSMUSG00000001056	ENSG00000145912
ENSMUSG00000001062	ENSG00000075399
ENSMUSG00000001065	ENSG00000158805
ENSMUSG00000001076	ENSG00000186897
ENSMUSG00000001082	ENSG00000109736
ENSMUSG00000001089	ENSG00000169641
ENSMUSG00000001095	ENSG00000007216
ENSMUSG00000001098	ENSG00000110906
ENSMUSG00000001100	ENSG00000004142
ENSMUSG00000001103	ENSG00000274529
ENSMUSG00000001105	ENSG00000109083
ENSMUSG00000001119	ENSG00000142156
ENSMUSG00000001120	ENSG00000183570
ENSMUSG00000001123	ENSG00000168961
ENSMUSG00000001123	ENSG00000170298
ENSMUSG00000001123	ENSG00000171916
ENSMUSG00000001127	ENSG00000078061
ENSMUSG00000001128	ENSG00000126759
ENSMUSG00000001131	ENSG00000102265
ENSMUSG00000001134	ENSG00000126756
ENSMUSG00000001138	ENSG00000168763
ENSMUSG00000001143	ENSG00000114988
ENSMUSG00000001150	ENSG00000160294
ENSMUSG00000001151	ENSG00000160299
ENSMUSG00000001155	ENSG00000160282
ENSMUSG00000001156	ENSG00000059728
ENSMUSG00000001157	ENSG00000087338
ENSMUSG00000001158	ENSG00000124380
ENSMUSG00000001166	ENSG00000089127
ENSMUSG00000001168	ENSG00000089127
ENSMUSG00000001173	ENSG00000122126
ENSMUSG00000001175	ENSG00000143933
ENSMUSG00000001211	ENSG00000160216
ENSMUSG00000001225	ENSG00000091138
ENSMUSG00000001227	ENSG00000167680
ENSMUSG00000001228	ENSG00000276043
ENSMUSG00000001229	ENSG00000142002
ENSMUSG00000001240	ENSG00000131477
ENSMUSG00000001247	ENSG00000105699
ENSMUSG00000001248	ENSG00000089351
ENSMUSG00000001249	ENSG00000105707
ENSMUSG00000001260	ENSG00000163285
ENSMUSG00000001270	ENSG00000166165
ENSMUSG00000001280	ENSG00000185591
ENSMUSG00000001281	ENSG00000139626
ENSMUSG00000001285	ENSG00000139637
ENSMUSG00000001288	ENSG00000172819
ENSMUSG00000001289	ENSG00000123349
ENSMUSG00000001300	ENSG00000125266
ENSMUSG00000001305	ENSG00000067533
ENSMUSG00000001313	ENSG00000108830
ENSMUSG00000001323	ENSG00000167720
ENSMUSG00000001333	ENSG00000162520
ENSMUSG00000001334	ENSG00000160097
ENSMUSG00000001348	ENSG00000102575
ENSMUSG00000001349	ENSG00000130176
ENSMUSG00000001366	ENSG00000112146
ENSMUSG00000001376	ENSG00000004766
ENSMUSG00000001380	ENSG00000170445
ENSMUSG00000001383	ENSG00000146007
ENSMUSG00000001403	ENSG00000175063
ENSMUSG00000001415	ENSG00000198952
ENSMUSG00000001416	ENSG00000163468
ENSMUSG00000001418	ENSG00000198715
ENSMUSG00000001419	ENSG00000116604
ENSMUSG00000001420	ENSG00000163472
ENSMUSG00000001424	ENSG00000197157
ENSMUSG00000001435	ENSG00000182871
ENSMUSG00000001436	ENSG00000173638
ENSMUSG00000001440	ENSG00000108424
ENSMUSG00000001441	ENSG00000141279
ENSMUSG00000001444	ENSG00000073861
ENSMUSG00000001445	ENSG00000159111
ENSMUSG00000001467	ENSG00000001630
ENSMUSG00000001472	ENSG00000141002
ENSMUSG00000001473	ENSG00000176014
ENSMUSG00000001482	ENSG00000140995
ENSMUSG00000001493	ENSG00000005102
ENSMUSG00000001494	ENSG00000167941
ENSMUSG00000001496	ENSG00000136352
ENSMUSG00000001497	ENSG00000198807
ENSMUSG00000001504	ENSG00000170561
ENSMUSG00000001506	ENSG00000108821
ENSMUSG00000001507	ENSG00000005884
ENSMUSG00000001508	ENSG00000108823
ENSMUSG00000001510	ENSG00000064195
ENSMUSG00000001517	ENSG00000111206
ENSMUSG00000001518	ENSG00000111203
ENSMUSG00000001520	ENSG00000053702
ENSMUSG00000001521	ENSG00000078246
ENSMUSG00000001524	ENSG00000213780
ENSMUSG00000001525	ENSG00000196230
ENSMUSG00000001542	ENSG00000118985
ENSMUSG00000001552	ENSG00000173801
ENSMUSG00000001555	ENSG00000141756
ENSMUSG00000001558	ENSG00000161594
ENSMUSG00000001566	ENSG00000130675
ENSMUSG00000001569	ENSG00000146909
ENSMUSG00000001576	ENSG00000113719
ENSMUSG00000001583	ENSG00000174292
ENSMUSG00000001588	ENSG00000072818
ENSMUSG00000001604	ENSG00000204219
ENSMUSG00000001622	ENSG00000171209
ENSMUSG00000001627	ENSG00000006652
ENSMUSG00000001630	ENSG00000211455
ENSMUSG00000001632	ENSG00000156983
ENSMUSG00000001642	ENSG00000085662
ENSMUSG00000001655	ENSG00000123364
ENSMUSG00000001656	ENSG00000123388
ENSMUSG00000001657	ENSG00000037965
ENSMUSG00000001661	ENSG00000197757
ENSMUSG00000001666	ENSG00000099974
ENSMUSG00000001666	ENSG00000099977
ENSMUSG00000001670	ENSG00000198650
ENSMUSG00000001672	ENSG00000140832
ENSMUSG00000001674	ENSG00000088205
ENSMUSG00000001687	ENSG00000122042
ENSMUSG00000001700	ENSG00000155324
ENSMUSG00000001707	ENSG00000124802
ENSMUSG00000001707	ENSG00000265818
ENSMUSG00000001729	ENSG00000142208
ENSMUSG00000001739	ENSG00000106404
ENSMUSG00000001741	ENSG00000172349
ENSMUSG00000001750	ENSG00000110719
ENSMUSG00000001751	ENSG00000108784
ENSMUSG00000001755	ENSG00000068120
ENSMUSG00000001761	ENSG00000128602
ENSMUSG00000001763	ENSG00000158457
ENSMUSG00000001767	ENSG00000101343
ENSMUSG00000001768	ENSG00000132669
ENSMUSG00000001773	ENSG00000086205
ENSMUSG00000001774	ENSG00000110172
ENSMUSG00000001783	ENSG00000100220
ENSMUSG00000001785	ENSG00000136045
ENSMUSG00000001786	ENSG00000100225
ENSMUSG00000001794	ENSG00000126247
ENSMUSG00000001802	ENSG00000130881
ENSMUSG00000001804	ENSG00000175065
ENSMUSG00000001815	ENSG00000174279
ENSMUSG00000001819	ENSG00000128714
ENSMUSG00000001823	ENSG00000170178
ENSMUSG00000001827	ENSG00000110195
ENSMUSG00000001829	ENSG00000162129
ENSMUSG00000001833	ENSG00000122545
ENSMUSG00000001844	ENSG00000136247
ENSMUSG00000001847	ENSG00000136238
ENSMUSG00000001855	ENSG00000126883
ENSMUSG00000001864	ENSG00000126878
ENSMUSG00000001865	ENSG00000163751
ENSMUSG00000001870	ENSG00000049323
ENSMUSG00000001891	ENSG00000169764
ENSMUSG00000001901	ENSG00000173826
ENSMUSG00000001909	ENSG00000104907
ENSMUSG00000001910	ENSG00000160877
ENSMUSG00000001911	ENSG00000008441
ENSMUSG00000001918	ENSG00000105281
ENSMUSG00000001924	ENSG00000130985
ENSMUSG00000001930	ENSG00000110799
ENSMUSG00000001942	ENSG00000110013
ENSMUSG00000001943	ENSG00000019102
ENSMUSG00000001946	ENSG00000149564
ENSMUSG00000001948	ENSG00000064199
ENSMUSG00000001962	ENSG00000071859
ENSMUSG00000001964	ENSG00000102119
ENSMUSG00000001983	ENSG00000136463
ENSMUSG00000001985	ENSG00000163873
ENSMUSG00000001986	ENSG00000125675
ENSMUSG00000001988	ENSG00000130751
ENSMUSG00000001995	ENSG00000116991
ENSMUSG00000001998	ENSG00000081014
ENSMUSG00000001999	ENSG00000106605
ENSMUSG00000002006	ENSG00000067840
ENSMUSG00000002007	ENSG00000184343
ENSMUSG00000002010	ENSG00000067829
ENSMUSG00000002012	ENSG00000130822
ENSMUSG00000002014	ENSG00000180879
ENSMUSG00000002015	ENSG00000185825
ENSMUSG00000002017	ENSG00000119812
ENSMUSG00000002020	ENSG00000119681
ENSMUSG00000002028	ENSG00000118058
ENSMUSG00000002031	ENSG00000118096
ENSMUSG00000002032	ENSG00000149582
ENSMUSG00000002033	ENSG00000160654
ENSMUSG00000002043	ENSG00000007255
ENSMUSG00000002052	ENSG00000109111
ENSMUSG00000002055	ENSG00000076382
ENSMUSG00000002055	ENSG00000258472
ENSMUSG00000002057	ENSG00000109101
ENSMUSG00000002058	ENSG00000109103
ENSMUSG00000002059	ENSG00000109113
ENSMUSG00000002064	ENSG00000132581
ENSMUSG00000002068	ENSG00000105173
ENSMUSG00000002076	ENSG00000160207
ENSMUSG00000002100	ENSG00000134571
ENSMUSG00000002102	ENSG00000165916
ENSMUSG00000002103	ENSG00000134575
ENSMUSG00000002104	ENSG00000165917
ENSMUSG00000002105	ENSG00000165915
ENSMUSG00000002107	ENSG00000048740
ENSMUSG00000002108	ENSG00000025434
ENSMUSG00000002109	ENSG00000134574
ENSMUSG00000002111	ENSG00000066336
ENSMUSG00000002129	ENSG00000099995
ENSMUSG00000002147	ENSG00000166888
ENSMUSG00000002190	ENSG00000153132
ENSMUSG00000002204	ENSG00000131400
ENSMUSG00000002205	ENSG00000105053
ENSMUSG00000002210	ENSG00000105771
ENSMUSG00000002221	ENSG00000157212
ENSMUSG00000002222	ENSG00000153561
ENSMUSG00000002227	ENSG00000155363
ENSMUSG00000002228	ENSG00000155367
ENSMUSG00000002233	ENSG00000155366
ENSMUSG00000002240	ENSG00000187533
ENSMUSG00000002249	ENSG00000007866
ENSMUSG00000002250	ENSG00000112033
ENSMUSG00000002257	ENSG00000023892
ENSMUSG00000002265	ENSG00000198300
ENSMUSG00000002274	ENSG00000103260
ENSMUSG00000002279	ENSG00000103227
ENSMUSG00000002280	ENSG00000103245
ENSMUSG00000002289	ENSG00000167772
ENSMUSG00000002297	ENSG00000006634
ENSMUSG00000002307	ENSG00000204209
ENSMUSG00000002308	ENSG00000167775
ENSMUSG00000002319	ENSG00000196497
ENSMUSG00000002320	ENSG00000100926
ENSMUSG00000002320	ENSG00000254692
ENSMUSG00000002324	ENSG00000100918
ENSMUSG00000002325	ENSG00000213928
ENSMUSG00000002326	ENSG00000100938
ENSMUSG00000002329	ENSG00000213920
ENSMUSG00000002329	ENSG00000255526
ENSMUSG00000002332	ENSG00000157379
ENSMUSG00000002341	ENSG00000130287
ENSMUSG00000002342	ENSG00000064545
ENSMUSG00000002343	ENSG00000105676
ENSMUSG00000002345	ENSG00000213999
ENSMUSG00000002346	ENSG00000181035
ENSMUSG00000002365	ENSG00000130340
ENSMUSG00000002372	ENSG00000031823
ENSMUSG00000002379	ENSG00000174886
ENSMUSG00000002379	ENSG00000267740
ENSMUSG00000002384	ENSG00000116985
ENSMUSG00000002384	ENSG00000183682
ENSMUSG00000002393	ENSG00000160113
ENSMUSG00000002395	ENSG00000053501
ENSMUSG00000002396	ENSG00000099330
ENSMUSG00000002409	ENSG00000105204
ENSMUSG00000002413	ENSG00000157764
ENSMUSG00000002416	ENSG00000090266
ENSMUSG00000002428	ENSG00000071794
ENSMUSG00000002455	ENSG00000101161
ENSMUSG00000002458	ENSG00000171700
ENSMUSG00000002459	ENSG00000147509
ENSMUSG00000002475	ENSG00000158201
ENSMUSG00000002477	ENSG00000167088
ENSMUSG00000002486	ENSG00000139437
ENSMUSG00000002489	ENSG00000156299
ENSMUSG00000002496	ENSG00000103197
ENSMUSG00000002500	ENSG00000140986
ENSMUSG00000002504	ENSG00000065054
ENSMUSG00000002524	ENSG00000179950
ENSMUSG00000002546	ENSG00000174450
ENSMUSG00000002546	ENSG00000273976
ENSMUSG00000002546	ENSG00000277322
ENSMUSG00000002546	ENSG00000277865
ENSMUSG00000002550	ENSG00000130717
ENSMUSG00000002565	ENSG00000006747
ENSMUSG00000002578	ENSG00000123411
ENSMUSG00000002580	ENSG00000141741
ENSMUSG00000002588	ENSG00000005421
ENSMUSG00000002602	ENSG00000167601
ENSMUSG00000002603	ENSG00000105329
ENSMUSG00000002608	ENSG00000142039
ENSMUSG00000002625	ENSG00000011243
ENSMUSG00000002633	ENSG00000164690
ENSMUSG00000002635	ENSG00000126249
ENSMUSG00000002635	ENSG00000266953
ENSMUSG00000002658	ENSG00000125651
ENSMUSG00000002660	ENSG00000125656
ENSMUSG00000002661	ENSG00000125652
ENSMUSG00000002664	ENSG00000125650
ENSMUSG00000002668	ENSG00000205744
ENSMUSG00000002679	ENSG00000133997
ENSMUSG00000002688	ENSG00000184304
ENSMUSG00000002699	ENSG00000043462
ENSMUSG00000002718	ENSG00000124207
ENSMUSG00000002728	ENSG00000173418
ENSMUSG00000002731	ENSG00000180228
ENSMUSG00000002732	ENSG00000079150
ENSMUSG00000002733	ENSG00000116095
ENSMUSG00000002741	ENSG00000106636
ENSMUSG00000002748	ENSG00000009954
ENSMUSG00000002763	ENSG00000124587
ENSMUSG00000002767	ENSG00000112651
ENSMUSG00000002768	ENSG00000124733
ENSMUSG00000002769	ENSG00000124713
ENSMUSG00000002771	ENSG00000105464
ENSMUSG00000002778	ENSG00000105438
ENSMUSG00000002781	ENSG00000161558
ENSMUSG00000002797	ENSG00000006625
ENSMUSG00000002797	ENSG00000281039
ENSMUSG00000002799	ENSG00000184916
ENSMUSG00000002803	ENSG00000184887
ENSMUSG00000002804	ENSG00000183828
ENSMUSG00000002808	ENSG00000086289
ENSMUSG00000002812	ENSG00000177731
ENSMUSG00000002814	ENSG00000177302
ENSMUSG00000002820	ENSG00000130734
ENSMUSG00000002825	ENSG00000213339
ENSMUSG00000002831	ENSG00000167676
ENSMUSG00000002833	ENSG00000167674
ENSMUSG00000002835	ENSG00000167670
ENSMUSG00000002844	ENSG00000144843
ENSMUSG00000002845	ENSG00000176142
ENSMUSG00000002846	ENSG00000113845
ENSMUSG00000002847	ENSG00000144837
ENSMUSG00000002870	ENSG00000073111
ENSMUSG00000002871	ENSG00000163870
ENSMUSG00000002881	ENSG00000138386
ENSMUSG00000002885	ENSG00000123146
ENSMUSG00000002897	ENSG00000177663
ENSMUSG00000002900	ENSG00000091136
ENSMUSG00000002908	ENSG00000105642
ENSMUSG00000002910	ENSG00000105643
ENSMUSG00000002930	ENSG00000106341
ENSMUSG00000002944	ENSG00000135218
ENSMUSG00000002948	ENSG00000076984
ENSMUSG00000002949	ENSG00000104980
ENSMUSG00000002957	ENSG00000183020
ENSMUSG00000002963	ENSG00000039650
ENSMUSG00000002968	ENSG00000104973
ENSMUSG00000002980	ENSG00000187244
ENSMUSG00000002981	ENSG00000104853
ENSMUSG00000002983	ENSG00000104856
ENSMUSG00000002984	ENSG00000130204
ENSMUSG00000002985	ENSG00000130203
ENSMUSG00000002992	ENSG00000224916
ENSMUSG00000002992	ENSG00000234906
ENSMUSG00000002996	ENSG00000105856
ENSMUSG00000002997	ENSG00000005249
ENSMUSG00000003031	ENSG00000111276
ENSMUSG00000003032	ENSG00000136826
ENSMUSG00000003033	ENSG00000072958
ENSMUSG00000003037	ENSG00000167461
ENSMUSG00000003038	ENSG00000182952
ENSMUSG00000003038	ENSG00000198830
ENSMUSG00000003039	ENSG00000105058
ENSMUSG00000003051	ENSG00000163435
ENSMUSG00000003053	ENSG00000138109
ENSMUSG00000003053	ENSG00000138115
ENSMUSG00000003053	ENSG00000165841
ENSMUSG00000003062	ENSG00000010270
ENSMUSG00000003068	ENSG00000118046
ENSMUSG00000003070	ENSG00000099617
ENSMUSG00000003072	ENSG00000099624
ENSMUSG00000003099	ENSG00000011485
ENSMUSG00000003119	ENSG00000167258
ENSMUSG00000003123	ENSG00000079435
ENSMUSG00000003131	ENSG00000168092
ENSMUSG00000003134	ENSG00000204634
ENSMUSG00000003135	ENSG00000158435
ENSMUSG00000003153	ENSG00000059804
ENSMUSG00000003153	ENSG00000173262
ENSMUSG00000003154	ENSG00000065970
ENSMUSG00000003161	ENSG00000075142
ENSMUSG00000003166	ENSG00000070413
ENSMUSG00000003184	ENSG00000126456
ENSMUSG00000003190	ENSG00000126453
ENSMUSG00000003198	ENSG00000214189
ENSMUSG00000003199	ENSG00000008382
ENSMUSG00000003200	ENSG00000141985
ENSMUSG00000003206	ENSG00000105246
ENSMUSG00000003208	ENSG00000105248
ENSMUSG00000003226	ENSG00000015568
ENSMUSG00000003226	ENSG00000153165
ENSMUSG00000003226	ENSG00000153201
ENSMUSG00000003226	ENSG00000169629
ENSMUSG00000003226	ENSG00000183054
ENSMUSG00000003226	ENSG00000185304
ENSMUSG00000003226	ENSG00000187627
ENSMUSG00000003226	ENSG00000196862
ENSMUSG00000003227	ENSG00000135960
ENSMUSG00000003228	ENSG00000198873
ENSMUSG00000003233	ENSG00000161202
ENSMUSG00000003234	ENSG00000161204
ENSMUSG00000003235	ENSG00000145191
ENSMUSG00000003269	ENSG00000105443
ENSMUSG00000003269	ENSG00000268465
ENSMUSG00000003271	ENSG00000088002
ENSMUSG00000003273	ENSG00000063180
ENSMUSG00000003279	ENSG00000170579
ENSMUSG00000003282	ENSG00000181690
ENSMUSG00000003283	ENSG00000101336
ENSMUSG00000003299	ENSG00000105364
ENSMUSG00000003308	ENSG00000079999
ENSMUSG00000003309	ENSG00000129354
ENSMUSG00000003316	ENSG00000090863
ENSMUSG00000003341	ENSG00000130270
ENSMUSG00000003344	ENSG00000133243
ENSMUSG00000003345	ENSG00000133275
ENSMUSG00000003346	ENSG00000129968
ENSMUSG00000003348	ENSG00000172081
ENSMUSG00000003352	ENSG00000167535
ENSMUSG00000003354	ENSG00000139537
ENSMUSG00000003355	ENSG00000134285
ENSMUSG00000003360	ENSG00000174243
ENSMUSG00000003363	ENSG00000105223
ENSMUSG00000003378	ENSG00000105737
ENSMUSG00000003379	ENSG00000105369
ENSMUSG00000003380	ENSG00000105404
ENSMUSG00000003382	ENSG00000117036
ENSMUSG00000003402	ENSG00000130175
ENSMUSG00000003410	ENSG00000196361
ENSMUSG00000003411	ENSG00000169213
ENSMUSG00000003418	ENSG00000148488
ENSMUSG00000003420	ENSG00000104870
ENSMUSG00000003421	ENSG00000142546
ENSMUSG00000003423	ENSG00000104872
ENSMUSG00000003435	ENSG00000196235
ENSMUSG00000003436	ENSG00000090932
ENSMUSG00000003437	ENSG00000006712
ENSMUSG00000003438	ENSG00000105197
ENSMUSG00000003444	ENSG00000063322
ENSMUSG00000003452	ENSG00000151746
ENSMUSG00000003458	ENSG00000162736
ENSMUSG00000003464	ENSG00000162735
ENSMUSG00000003469	ENSG00000168490
ENSMUSG00000003476	ENSG00000106113
ENSMUSG00000003477	ENSG00000241644
ENSMUSG00000003477	ENSG00000254959
ENSMUSG00000003484	ENSG00000186529
ENSMUSG00000003500	ENSG00000106348
ENSMUSG00000003505	ENSG00000105352
ENSMUSG00000003505	ENSG00000170956
ENSMUSG00000003518	ENSG00000108861
ENSMUSG00000003526	ENSG00000100033
ENSMUSG00000003526	ENSG00000277196
ENSMUSG00000003527	ENSG00000100056
ENSMUSG00000003528	ENSG00000100075
ENSMUSG00000003531	ENSG00000128185
ENSMUSG00000003531	ENSG00000183628
ENSMUSG00000003531	ENSG00000278817
ENSMUSG00000003534	ENSG00000204580
ENSMUSG00000003541	ENSG00000137331
ENSMUSG00000003545	ENSG00000125740
ENSMUSG00000003546	ENSG00000137171
ENSMUSG00000003549	ENSG00000012061
ENSMUSG00000003555	ENSG00000148795
ENSMUSG00000003559	ENSG00000214435
ENSMUSG00000003573	ENSG00000051128
ENSMUSG00000003575	ENSG00000105662
ENSMUSG00000003581	ENSG00000099999
ENSMUSG00000003585	ENSG00000100003
ENSMUSG00000003585	ENSG00000249590
ENSMUSG00000003604	ENSG00000169857
ENSMUSG00000003617	ENSG00000047457
ENSMUSG00000003623	ENSG00000005469
ENSMUSG00000003644	ENSG00000117676
ENSMUSG00000003657	ENSG00000172137
ENSMUSG00000003660	ENSG00000144028
ENSMUSG00000003662	ENSG00000144021
ENSMUSG00000003665	ENSG00000105509
ENSMUSG00000003680	ENSG00000162227
ENSMUSG00000003721	ENSG00000125629
ENSMUSG00000003731	ENSG00000025800
ENSMUSG00000003746	ENSG00000111885
ENSMUSG00000003752	ENSG00000086544
ENSMUSG00000003762	ENSG00000123815
ENSMUSG00000003778	ENSG00000112983
ENSMUSG00000003779	ENSG00000112984
ENSMUSG00000003808	ENSG00000179115
ENSMUSG00000003809	ENSG00000105607
ENSMUSG00000003810	ENSG00000086015
ENSMUSG00000003812	ENSG00000105612
ENSMUSG00000003813	ENSG00000179262
