ENSGID	CHR	START	END
ENSG00000057757	chr1	24104895	24114722
ENSG00000011009	chr1	24117460	24122029
ENSG00000117308	chr1	24122089	24127271
ENSG00000117305	chr1	24128375	24165110
ENSG00000179163	chr1	24171567	24194784
ENSG00000188822	chr1	24197016	24285549
ENSG00000189266	chr1	24285599	24289952
ENSG00000188529	chr1	24291294	24307417
ENSG00000142661	chr1	24382525	24438665
ENSG00000142677	chr1	24446261	24469611
ENSG00000185436	chr1	24480647	24514449
ENSG00000158055	chr1	24645812	24690972
ENSG00000001460	chr1	24683489	24743424
ENSG00000001461	chr1	24742284	24799466
ENSG00000117602	chr1	24829387	24867530
ENSG00000184454	chr1	24882602	24935819
ENSG00000133226	chr1	24958207	24999758
ENSG00000169504	chr1	25071848	25170815
ENSG00000020633	chr1	25226002	25291612
ENSG00000117614	chr1	25549170	25558993
ENSG00000117616	chr1	25568728	25664704
ENSG00000187010	chr1	25598884	25656936
ENSG00000183726	chr1	25664408	25688852
ENSG00000188672	chr1	25688740	25756683
ENSG00000204178	chr1	25757388	25826700
ENSG00000157978	chr1	25870071	25895377
ENSG00000117643	chr1	25943959	26112698
ENSG00000162430	chr1	26126667	26144713
ENSG00000255054	chr1	26137961	26150235
ENSG00000117640	chr1	26145131	26159432
ENSG00000223474	chr1	26145212	26147288
ENSG00000127423	chr1	26158414	26185903
ENSG00000182749	chr1	26187701	26197744
ENSG00000117632	chr1	26210672	26233482
ENSG00000158006	chr1	26286258	26324648
ENSG00000158008	chr1	26346375	26362955
ENSG00000158014	chr1	26363743	26372624
ENSG00000158022	chr1	26377795	26394927
ENSG00000175087	chr1	26437664	26452034
ENSG00000197245	chr1	26485511	26489119
ENSG00000142684	chr1	26496362	26498551
ENSG00000142675	chr1	26503894	26516377
ENSG00000188782	chr1	26517052	26529459
ENSG00000130695	chr1	26560691	26605299
ENSG00000142669	chr1	26605667	26608007
ENSG00000158062	chr1	26607819	26644854
ENSG00000169442	chr1	26644448	26647014
ENSG00000176092	chr1	26648350	26680621
ENSG00000176083	chr1	26688125	26701013
ENSG00000131914	chr1	26737269	26756213
ENSG00000117682	chr1	26758773	26797785
ENSG00000198830	chr1	26798941	26802463
ENSG00000117676	chr1	26856252	26901521
ENSG00000117713	chr1	27022524	27108595
ENSG00000060642	chr1	27113963	27124889
ENSG00000204160	chr1	27153201	27184093
ENSG00000175793	chr1	27189633	27190947
ENSG00000142751	chr1	27202624	27216788
ENSG00000198746	chr1	27216979	27226957
ENSG00000090273	chr1	27226729	27273353
ENSG00000131910	chr1	27237980	27240457
ENSG00000175707	chr1	27276053	27286897
ENSG00000253368	chr1	27320198	27327389
ENSG00000158246	chr1	27331511	27339327
ENSG00000090020	chr1	27425306	27493472
ENSG00000142784	chr1	27561007	27635110
ENSG00000186501	chr1	27648651	27662891
ENSG00000142765	chr1	27668513	27680421
ENSG00000142733	chr1	27681675	27693383
ENSG00000142748	chr1	27695603	27701315
ENSG00000174950	chr1	27705666	27709870
ENSG00000181773	chr1	27719148	27722318
ENSG00000158195	chr1	27730730	27816669
ENSG00000126705	chr1	27860546	27930942
ENSG00000000938	chr1	27938575	27961788
ENSG00000126709	chr1	27992572	27998729
ENSG00000009780	chr1	28052490	28089633
ENSG00000117758	chr1	28099694	28150963
ENSG00000117751	chr1	28157289	28178187
ENSG00000268552	chr1	28177085	28177255
ENSG00000130775	chr1	28199055	28213196
ENSG00000117748	chr1	28218035	28241257
ENSG00000130768	chr1	28261504	28285668
ENSG00000158156	chr1	28285973	28294607
ENSG00000158161	chr1	28296855	28415207
ENSG00000169403	chr1	28473677	28520447
ENSG00000126698	chr1	28525967	28559536
ENSG00000215902	chr1	28527013	28527152
ENSG00000269804	chr1	28527070	28527419
ENSG00000130770	chr1	28562620	28573417
ENSG00000130766	chr1	28586038	28609002
ENSG00000130772	chr1	28655513	28662476
ENSG00000204138	chr1	28696114	28826881
ENSG00000180198	chr1	28832455	28865812
ENSG00000180098	chr1	28879597	28905051
ENSG00000120656	chr1	28915835	28969597
ENSG00000188060	chr1	28918712	28921955
ENSG00000162419	chr1	28995244	29045865
ENSG00000198492	chr1	29063133	29096287
ENSG00000116329	chr1	29138654	29190208
ENSG00000159023	chr1	29213603	29446553
ENSG00000253304	chr1	29445940	29450447
ENSG00000116350	chr1	29474255	29508499
ENSG00000116353	chr1	29519385	29557454
ENSG00000060656	chr1	29563028	29653325
ENSG00000162510	chr1	31184124	31196434
ENSG00000162511	chr1	31205316	31230667
ENSG00000162512	chr1	31342314	31381608
ENSG00000134644	chr1	31404353	31538838
ENSG00000084628	chr1	31652592	31712401
ENSG00000060688	chr1	31732417	31769662
ENSG00000121766	chr1	31769842	31837783
ENSG00000121769	chr1	31838472	31849697
ENSG00000168528	chr1	31882412	31907525
ENSG00000268950	chr1	31902192	31902614
ENSG00000142910	chr1	32042116	32053288
ENSG00000121764	chr1	32083287	32098119
ENSG00000162517	chr1	32095463	32110497
ENSG00000084636	chr1	32117848	32169920
ENSG00000121753	chr1	32192718	32230494
ENSG00000134668	chr1	32256023	32281652
ENSG00000184007	chr1	32372022	32410457
ENSG00000212673	chr1	32379174	32380745
ENSG00000121774	chr1	32479430	32526451
ENSG00000121775	chr1	32537632	32568467
ENSG00000025800	chr1	32573639	32642169
ENSG00000084652	chr1	32645287	32663886
ENSG00000160050	chr1	32665987	32670988
ENSG00000160051	chr1	32671236	32674288
ENSG00000222046	chr1	32674695	32681797
ENSG00000160055	chr1	32680073	32687972
ENSG00000084623	chr1	32687529	32697205
ENSG00000183615	chr1	32712834	32714457
ENSG00000182866	chr1	32716840	32751766
ENSG00000116478	chr1	32757687	32799236
ENSG00000175130	chr1	32799433	32801980
ENSG00000162526	chr1	32817122	32829913
ENSG00000225828	chr1	32826871	32829879
ENSG00000160058	chr1	32830704	32860332
ENSG00000254553	chr1	32930658	33066393
ENSG00000273274	chr1	32930670	32962287
ENSG00000160062	chr1	33005028	33071540
ENSG00000176261	chr1	33065773	33116504
ENSG00000162521	chr1	33116743	33151812
ENSG00000162520	chr1	33145507	33169197
ENSG00000162522	chr1	33207486	33240571
ENSG00000134684	chr1	33240840	33283754
ENSG00000116497	chr1	33282368	33324476
ENSG00000160097	chr1	33327869	33338083
ENSG00000121905	chr1	33351595	33364042
ENSG00000121900	chr1	33360195	33367039
ENSG00000116514	chr1	33402046	33430286
ENSG00000267885	chr1	33439268	33439642
ENSG00000004455	chr1	33473585	33546597
ENSG00000142920	chr1	33546705	33586131
ENSG00000116525	chr1	33611003	33647660
ENSG00000160094	chr1	33722146	33766320
ENSG00000184389	chr1	33772367	33786699
ENSG00000134686	chr1	33789224	33896653
ENSG00000121903	chr1	33938246	33962107
ENSG00000121904	chr1	33979609	34631443
ENSG00000176256	chr1	34326076	34330392
ENSG00000142698	chr1	34632484	34684732
ENSG00000163866	chr1	35178338	35325417
ENSG00000189280	chr1	35220648	35224113
ENSG00000189433	chr1	35225342	35229325
ENSG00000188910	chr1	35246790	35251970
ENSG00000187513	chr1	35258599	35261348
ENSG00000116544	chr1	35331037	35395186
ENSG00000271741	chr1	35447134	35497342
ENSG00000243749	chr1	35447136	35450954
ENSG00000163867	chr1	35449523	35497569
ENSG00000197056	chr1	35525387	35581460
ENSG00000116560	chr1	35641979	35658749
ENSG00000146463	chr1	35734568	35887659
ENSG00000142687	chr1	35899091	36023551
ENSG00000020129	chr1	36023074	36032875
ENSG00000116819	chr1	36038971	36060929
ENSG00000126067	chr1	36067185	36107445
ENSG00000142686	chr1	36179476	36185073
ENSG00000092853	chr1	36185819	36235568
ENSG00000134698	chr1	36273773	36323491
ENSG00000092847	chr1	36335409	36395211
ENSG00000126070	chr1	36396319	36538101
ENSG00000092850	chr1	36549676	36553876
ENSG00000116863	chr1	36554476	36559533
ENSG00000171812	chr1	36560837	36590821
ENSG00000054116	chr1	36602173	36615098
ENSG00000116871	chr1	36621180	36646450
ENSG00000054118	chr1	36690017	36770958
ENSG00000214193	chr1	36771988	36790484
ENSG00000142694	chr1	36787632	36789755
ENSG00000116883	chr1	36789335	36794822
ENSG00000196182	chr1	36805225	36851497
ENSG00000181817	chr1	36856839	36863493
ENSG00000116885	chr1	36881428	36916086
ENSG00000116898	chr1	36921319	36930038
ENSG00000119535	chr1	36931644	36948879
ENSG00000163873	chr1	37261128	37499730
ENSG00000163874	chr1	37940153	37949980
ENSG00000163875	chr1	37958176	37980375
ENSG00000163877	chr1	38000050	38019903
ENSG00000163879	chr1	38022520	38032458
ENSG00000134697	chr1	38032417	38061536
ENSG00000169218	chr1	38076951	38100595
ENSG00000116922	chr1	38147242	38157914
ENSG00000134690	chr1	38158090	38175391
ENSG00000183317	chr1	38179552	38230805
ENSG00000185090	chr1	38259474	38266809
ENSG00000196449	chr1	38268616	38273857
ENSG00000197982	chr1	38272651	38275126
ENSG00000188786	chr1	38275239	38325292
ENSG00000230610	chr1	38292232	38293886
ENSG00000204084	chr1	38326369	38412729
ENSG00000183431	chr1	38422647	38456593
ENSG00000183386	chr1	38462442	38471278
ENSG00000183520	chr1	38474930	38490496
ENSG00000185668	chr1	38509523	38512450
ENSG00000116954	chr1	39303870	39325495
ENSG00000214114	chr1	39328636	39347289
ENSG00000131233	chr1	39330175	39347289
ENSG00000158315	chr1	39351479	39407471
ENSG00000174574	chr1	39456895	39471731
ENSG00000168653	chr1	39491990	39500308
ENSG00000127603	chr1	39546988	39952849
ENSG00000255103	chr1	39876151	39882154
ENSG00000183682	chr1	39957318	39991607
ENSG00000090621	chr1	40026488	40042462
ENSG00000163909	chr1	40089825	40105617
ENSG00000116981	chr1	40124793	40137710
ENSG00000116983	chr1	40144320	40157361
ENSG00000084072	chr1	40157854	40229586
ENSG00000116985	chr1	40222854	40254533
ENSG00000198754	chr1	40235195	40237020
ENSG00000043514	chr1	40306723	40349183
ENSG00000116990	chr1	40361098	40367928
ENSG00000168389	chr1	40420802	40435638
ENSG00000131236	chr1	40505905	40538321
ENSG00000131238	chr1	40538379	40563375
ENSG00000117000	chr1	40627045	40706593
ENSG00000188800	chr1	40711619	40717363
ENSG00000084073	chr1	40723779	40759856
ENSG00000049089	chr1	40766159	40783488
ENSG00000084070	chr1	40810522	40888998
ENSG00000187801	chr1	40915774	40929390
ENSG00000187815	chr1	40942887	40962015
ENSG00000164002	chr1	40974413	40982228
ENSG00000117010	chr1	40997233	41013841
ENSG00000117016	chr1	41086351	41131329
ENSG00000066136	chr1	41157320	41237275
ENSG00000117013	chr1	41249684	41306124
ENSG00000179862	chr1	41326729	41328018
ENSG00000171793	chr1	41445007	41478235
ENSG00000171790	chr1	41481269	41488909
ENSG00000010803	chr1	41492872	41707826
ENSG00000204060	chr1	41827594	41849262
ENSG00000127129	chr1	41944446	41950344
ENSG00000127124	chr1	41972036	42501596
ENSG00000044012	chr1	42619092	42621495
ENSG00000197273	chr1	42628362	42630389
ENSG00000198815	chr1	42642210	42801548
ENSG00000177181	chr1	42846466	42888249
ENSG00000066185	chr1	42896000	42921938
ENSG00000127125	chr1	42921788	42939056
ENSG00000186409	chr1	42929001	43120335
ENSG00000171960	chr1	43124096	43142429
ENSG00000065978	chr1	43148098	43168020
ENSG00000164007	chr1	43198764	43205925
ENSG00000117385	chr1	43212006	43232755
ENSG00000164008	chr1	43232940	43263968
ENSG00000177868	chr1	43272723	43282954
ENSG00000164010	chr1	43282795	43310660
ENSG00000164011	chr1	43312280	43318148
ENSG00000117394	chr1	43391052	43424530
ENSG00000186973	chr1	43610824	43622067
ENSG00000117395	chr1	43629846	43736607
ENSG00000243710	chr1	43637820	43720029
ENSG00000179178	chr1	43735665	43739673
ENSG00000253313	chr1	43747554	43751288
ENSG00000066056	chr1	43766664	43788779
ENSG00000117400	chr1	43803478	43818443
ENSG00000117399	chr1	43824626	43828874
ENSG00000066322	chr1	43829068	43833696
ENSG00000159479	chr1	43849588	43855479
ENSG00000198198	chr1	43855553	43918321
ENSG00000178922	chr1	43916824	43919660
ENSG00000142949	chr1	43990858	44089343
ENSG00000066135	chr1	44115829	44171186
ENSG00000126091	chr1	44171495	44396831
ENSG00000117407	chr1	44398992	44402913
ENSG00000117408	chr1	44412611	44433694
ENSG00000132768	chr1	44435672	44439041
ENSG00000117410	chr1	44440159	44443967
ENSG00000117411	chr1	44444615	44456840
ENSG00000159214	chr1	44457031	44462200
ENSG00000196517	chr1	44457172	44497139
ENSG00000171872	chr1	44584522	44600812
ENSG00000178028	chr1	44679127	44686353
ENSG00000117419	chr1	44686742	44820932
ENSG00000187147	chr1	44870866	45117396
ENSG00000126106	chr1	45100910	45140227
ENSG00000198520	chr1	45140364	45191263
ENSG00000142945	chr1	45205490	45233439
ENSG00000142937	chr1	45240923	45244451
ENSG00000142959	chr1	45249257	45253377
ENSG00000173846	chr1	45265897	45271662
ENSG00000188396	chr1	45271585	45272957
ENSG00000222009	chr1	45274154	45281257
ENSG00000117425	chr1	45285516	45308735
ENSG00000070785	chr1	45316450	45452282
ENSG00000126107	chr1	45468212	45477001
ENSG00000126088	chr1	45477819	45481247
ENSG00000162415	chr1	45482071	45771881
ENSG00000186603	chr1	45792545	45794347
ENSG00000132781	chr1	45794835	45806142
ENSG00000132773	chr1	45805342	45809647
ENSG00000070759	chr1	45809555	45956872
ENSG00000236624	chr1	45959538	45965751
ENSG00000132763	chr1	45965725	45976739
ENSG00000117450	chr1	45976708	45988719
ENSG00000117448	chr1	46016215	46035721
ENSG00000132780	chr1	46049518	46084566
ENSG00000159588	chr1	46085716	46089729
ENSG00000159592	chr1	46092976	46153785
ENSG00000159596	chr1	46152886	46160115
ENSG00000197429	chr1	46159996	46216322
ENSG00000086015	chr1	46252659	46501796
ENSG00000117461	chr1	46505812	46642160
ENSG00000117472	chr1	46640745	46651630
ENSG00000085998	chr1	46654354	46685977
ENSG00000171357	chr1	46669006	46686933
ENSG00000085999	chr1	46713360	46744145
ENSG00000132128	chr1	46726868	46769280
ENSG00000173660	chr1	46769303	46782448
ENSG00000117481	chr1	46805849	46830824
ENSG00000117480	chr1	46859937	46879520
ENSG00000197587	chr1	46972668	46979898
ENSG00000162456	chr1	47011316	47017199
ENSG00000079277	chr1	47023090	47082515
ENSG00000142961	chr1	47073387	47082563
ENSG00000123472	chr1	47098409	47139539
ENSG00000159658	chr1	47124366	47184824
ENSG00000186118	chr1	47134527	47139266
ENSG00000142973	chr1	47223510	47285085
ENSG00000187048	chr1	47394849	47407156
